Index	FileName	ScanNum	FeatureIndex	TargetDecoyType	RetentionTime	MassCountInSpec	AverageMass	MonoisotopicMass	SumIntensity	MinCharge	MaxCharge	PeakCount	IsotopeCosine	ChargeCosine	ChargeScore	MassSNR	ChargeSNR	AveragePPMError	RepresentativeCharge	RepresentativeMzStart	RepresentativeMzEnd	Qscore	Qscore2D	Qvalue
4274	/Users/kyowonjeong/Data/mzml/FLASHDeconv/simple/Std/190507_Thermo_Std_FD2.mzML	967	nan	2	1004.637540	1	32222.321935	32202.208667	37380.5	56	58	35	0.915332	0.720387	0.925442	41.3262	17.8201	4.49729	58	556.405002	556.566829	0.480826	0.480826	1
4275	/Users/kyowonjeong/Data/mzml/FLASHDeconv/simple/Std/190507_Thermo_Std_FD2.mzML	971	nan	2	1009.114320	1	24057.065261	24042.075479	51734.1	31	36	47	0.915157	0.748947	0.797041	37.1656	18.2474	7.60685	35	688.142385	688.467735	0.473171	0.473171	1
4276	/Users/kyowonjeong/Data/mzml/FLASHDeconv/simple/Std/190507_Thermo_Std_FD2.mzML	978	nan	2	1016.862840	1	15062.883430	15053.460222	169880	13	22	87	0.898442	0.68208	0.845057	48.5557	9.86552	11.8709	17	886.852568	887.002850	0.498395	0.498395	1
4277	/Users/kyowonjeong/Data/mzml/FLASHDeconv/simple/Std/190507_Thermo_Std_FD2.mzML	981	nan	2	1020.250320	1	25205.326834	25189.633442	73590.7	29	34	51	0.936491	0.753298	0.933377	45.455	19.1113	4.9695	31	813.789130	813.965269	0.531185	0.531185	1
4278	/Users/kyowonjeong/Data/mzml/FLASHDeconv/simple/Std/190507_Thermo_Std_FD2.mzML	984	nan	2	1023.638460	1	13842.721927	13834.121586	63272.3	12	14	29	0.921109	0.815226	0.98708	40.0622	21.2699	12.4138	14	989.409659	989.763891	0.488338	0.488338	1
4279	/Users/kyowonjeong/Data/mzml/FLASHDeconv/simple/Std/190507_Thermo_Std_FD2.mzML	985	nan	2	1024.728600	2	30870.805775	30851.503391	56969.7	37	40	36	0.8836	0.731501	0.972155	31.0431	18.6843	5.59567	40	772.482760	772.869729	0.390896	0.390896	1
4280	/Users/kyowonjeong/Data/mzml/FLASHDeconv/simple/Std/190507_Thermo_Std_FD2.mzML	985	nan	2	1024.728600	2	31315.305258	31295.751603	61933.2	47	50	36	0.852646	0.734488	0.73125	41.4047	19.1213	4.37822	47	667.118506	667.232895	0.352970	0.352970	1
4281	/Users/kyowonjeong/Data/mzml/FLASHDeconv/simple/Std/190507_Thermo_Std_FD2.mzML	986	nan	2	1025.818680	3	11866.632546	11859.277582	164001	7	12	54	0.917886	0.79414	0.966484	39.6376	17.0376	14.4727	8	1483.713838	1484.514962	0.494829	0.494829	1
4282	/Users/kyowonjeong/Data/mzml/FLASHDeconv/simple/Std/190507_Thermo_Std_FD2.mzML	986	nan	2	1025.818680	3	26965.771849	26948.934136	48668.7	25	27	20	0.919374	0.745182	0.761421	29.9825	18.8593	5.37996	25	1079.368723	1079.637784	0.460809	0.460809	1
4283	/Users/kyowonjeong/Data/mzml/FLASHDeconv/simple/Std/190507_Thermo_Std_FD2.mzML	986	nan	2	1025.818680	3	28114.556379	28096.954995	47333.1	27	30	24	0.943162	0.729437	0.734968	29.6077	17.6315	6.66344	28	1004.815303	1004.996548	0.511702	0.511702	1
4284	/Users/kyowonjeong/Data/mzml/FLASHDeconv/simple/Std/190507_Thermo_Std_FD2.mzML	987	nan	2	1026.909060	1	32221.662239	32201.548971	31849.8	56	58	29	0.865859	0.850037	0.786839	58.6413	43.0205	3.7092	58	556.392458	556.554279	0.361538	0.361538	1
4285	/Users/kyowonjeong/Data/mzml/FLASHDeconv/simple/Std/190507_Thermo_Std_FD2.mzML	988	nan	2	1028.115960	1	17343.220517	17332.358333	26523.5	18	20	20	0.895701	0.685089	0.79588	18.3241	10.7598	11.8837	19	913.562232	913.824127	0.405968	0.405968	1
4286	/Users/kyowonjeong/Data/mzml/FLASHDeconv/simple/Std/190507_Thermo_Std_FD2.mzML	989	nan	2	1029.205920	2	29711.129708	29692.581383	47151.9	48	50	38	0.940016	0.825892	0.822429	34.1142	34.0189	6.46418	48	619.827293	619.973649	0.479274	0.479274	1
4287	/Users/kyowonjeong/Data/mzml/FLASHDeconv/simple/Std/190507_Thermo_Std_FD2.mzML	989	nan	2	1029.205920	2	34868.774078	34847.009149	33281.7	46	50	31	0.879557	0.705024	0.807642	42.1265	16.9896	5.31562	50	698.196500	698.318975	0.411493	0.411493	1
